349;1;Ночь у Мод / Ma Nuit chez Maude;1968;;44;352
350;1;Смертная казнь через повешение / Koshikei;1968;;56;215
351;1;Однажды на Диком Западе / C’era una volta il West;1968;;21;267
352;1;Петулия / Petulia;1968;;39;245
353;1;Воспоминания об отсталости / Memorias del subdesarrollo;1968;;27;288
354;2;Час огней: Заметки и свидетельства о неоколониализме насилии и освобождении / La hora de los hornos: Notas y testimonios sobre el neocolonialismo la violencia y la liberacion;1968;;2;304
355;2;Коммивояжер / Salesman;1968;;39;113
356;8;Ребёнок Розмари / Rosemary’s Baby;1968;;;259
357;12;2001: Космическая одиссея / 2001: A Space Odyssey;1968;;;276
358;1;Конформист / Il conformista;1969;;21;35
359;1;Тайна племени Харабат / Al-mummia;1969;;16;338
360;1;Цвет граната;1969;;38;265
361;1;Беспечный ездок / Easy Rider;1969;;39;120
362;1;Кровь кондора / Yawar mallku;1969;;5;326
363;1;Дракон зла против святого воителя / O Dragao da Maldade contra o Santo Guerreiro;1969;;6;64
364;1;Лусия / Lucia;1969;;27;296
365;2;Негасимый огонь / Nicht loschbares Feuer;1969;;12;324
366;2;Печаль и жалость / Le Chagrin et la pitie;1969;;44;199
367;2;Супружеская пара / A Married Couple;1969;;24;16
368;8;Ночь живых мертвецов / Night of the Living Dead;1969;;;103
369;10;Дикая банда / The Wild Bunch;1969;;;279
370;1;Король Лир;1970;;38;69
371;1;Представление / Performance;1970;;9;108
372;2;Госпиталь / Hospital;1970;;39;314
373;2;Вудсток / Woodstock;1970;;39;187
374;4;Паттон / Patton;1970;;;307
375;1;Четыре ночи мечтателя / Quatre nuits d’un reveur;1971;;44;249
376;1;Свит Свитбэк: Песня мерзавца / Sweet Sweetback’s Badasssss Song;1971;;39;201
377;1;Мой дядя Антуан / Mon Oncle Antoine;1971;;24;157
378;1;Шафт / Shaft;1971;;39;67
379;1;Последний киносеанс / The Last Picture Show;1971;;39;231
380;1;В.Р. Мистерия организма / W.R. — Misterije organizma;1971;;54;111
381;1;Как вкусен был мой француз / Como Era Gostoso o Meu Frances;1971;;6;217
382;10;МакКейб и миссис Миллер / McCabe and Mrs. Miller;1971;;39;253
383;13;Двухполосное шоссе / Two-Lane Blacktop;1971;;;213
384;1;Скромное обаяние буржуазии / Le Charme discret de la Bourgeoisie;1972;;44;181
385;1;Агирре гнев божий / Aguirre der Zorn Gottes;1972;;49;44
386;1;Последнее танго в Париже / Ultimo tango a Parigi;1972;;23;35
387;2;Китай / Chung Kuo — Cina;1972;;21;204
388;6;Крестный отец / The Godfather;1972;;;315
389;7;Кабаре / Cabaret;1972;;;38
390;1;Дух улья / El espiritu de la colmena;1973;;20;48
391;1;Американская ночь / La Nuit americaine;1973;;44;308
392;1;Злые улицы / Mean Streets;1973;;39;200
393;1;Пустоши / Badlands;1973;;39;282
394;1;Мамочка и шлюха / La Maman et la putain;1973;;44;130
395;11;Долгое прощание / The Long Goodbye;1973;;39;253
396;8;Изгоняющий дьявола / The Exorcist;1973;;;294
397;13;Пустоши / Badlands;1973;;;282
398;1;Песня Индии / India Song;1974;;44;192
399;1;Ксала (Бессилие) / Xala;1974;;37;298
400;11;Китайский квартал / Chinatown;1974;;;259
401;11;Разговор / The Conversation;1974;;;315
402;6;Крестный отец 2 / The Godfather: Part II;1974;;;315
403;1;Пикник у Висячей скалы / Picnic at Hanging Rock;1975;;1;233
404;1;Выкорми ворона / Cria Cuervos;1975;;20;148
405;1;Всё в порядке / Tout va bien;1975;;44;131
406;1;Жанна Дильман. набережная коммерции 23. Брюссель 1080 / Jeanne Dielman. 23 Quai du Commerce. 1080 Bruxelles;1975;;3;339
407;1;Комедианты / O thiasos;1975;;14;281
408;2;Серые сады / Grey Gardens;1975;;39;18
409;2;Битва на топорах / The Axe Fight;1975;;39;283
410;2;Девушки из Виттштока / Madchen in Wittstock;1975;;11;306
411;11;Ночные ходы / Night Moves;1975;;;26
412;1;С течением времени/ Im Lauf der Zeit;1976;;49;49
